ID|Kategori|SoruMetni|SecenekA|SecenekB|SecenekC|SecenekD|DogruCevap
240|K2|Goal 3 (Atari futbolu) oyununda şut çekince ne olabilir?|Top patlayabilir veya balığa dönüşebilir|Sadece gol olur|Hakem oyunu durdurur|Top kaybolur|A
241|K2|Tekken 3 oyununda capoeira yapan karakter kimdir?|Eddy Gordo|Paul|Jin|Law|A
242|K2|Ghosts 'n Goblins oyununda karakterimiz hasar alınca ne olur?|Ölür|Zırhı düşer|Rengi değişir|Küçülür|B
243|K2|Aladdin (SNES/Sega) oyununda düşmanlara ne fırlatırız?|Taş|Elma|Bıçak|Ateş|B
244|K2|Lion King (Aslan Kral) oyununun en zor bölümü hangisidir?|Sırtlanlar|Zürafalar|Scar savaşı|Mağara|B
245|K2|Asteroids oyununda gemimizle ne vururuz?|Göktaşlarını|Gezegenleri|Uçakları|Kuşları|A
246|K2|Road Rash oyununda motor sürerken rakiplere ne yapabiliriz?|Zincir veya sopayla vurabiliriz|Büyü yapabiliriz|Ateş edebiliriz|Sadece korna çalabiliriz|A
247|K2|Double Dragon oyununda kaçırılan kişi kimdir?|Kral|Marian|Başkan|Prenses|B
248|K2|Golden Axe oyununda kullanılan büyü şişelerinin (Potion) rengi nedir?|Kırmızı|Mavi|Yeşil|Sarı|B
249|K2|Pepsiman oyununda karakter ne yapmaya çalışır?|Savaşmaya|Pepsi dağıtmaya/toplamaya|Kola içmeye|Uyumaya|B
250|K2|Circus Charlie oyununda aslanın üzerinden atladığı şey nedir?|Su|Ateş çemberi|Diken|Duvar|B
251|K2|Excitebike oyununda rampalardan atlayınca neyi dengelemeliyiz?|Motorun önünü/arkasını|Hızı|Yakıtı|Rüzgarı|A
252|K2|Captain Tsubasa atari oyununda şut çekerken ne olur?|Hakem düdük çalar|Oyun donar|Sinematik/Anime ekranı girer|Hiçbir şey olmaz|C
253|K2|Battle City (Tank 1990) oyununda korumamız gereken sembol nedir?|Yıldız|Kral|Kartal|Bayrak|C
254|K2|Snow Bros oyununda düşmanları neye çeviririz?|Taşa|Ateş topuna|Suya|Kar topuna|D
255|K2|Cadillacs and Dinosaurs oyununda kafasında sarı şapka olan karakter?|Jack|Mustapha|Hannah|Mess|B
256|K2|Sensible Soccer oyununun en belirgin görsel özelliği nedir?|3D Grafikler|FPS kamera|Kuş bakışı minik adamlar|Gerçekçi yüzler|C
257|K2|Final Fight (Haggar) oyununda Haggar aslında nedir?|Polis|Belediye Başkanı|Öğretmen|Doktor|B
258|K2|Crazy Taxi oyununda amacımız nedir?|Araba parçalamak|Müşteriyi en hızlı şekilde götürmek|Yarış kazanmak|Polisten kaçmak|B
259|K2|Karate Champ oyununda hakem ne der?|Fight!|Round 1|Point/Winner|Game Over|C
260|K2|Kung-Fu Master oyununda kimi kurtarmaya çalışırız?|Sylvia|Peach|Zelda|Marian|A
261|K2|Paperboy oyununda ne dağıtırız?|Süt|Mektup|Gazete|Pizza|C
262|K2|Ice Climber oyununda yukarı tırmanmak için ne kullanırız?|Merdiven|Çekiç|İp|Asansör|B
263|K2|Virtua Cop 2 oyununda ne yaparız?|Dövüşürüz|Suçluları vururuz|Bulmaca çözeriz|Araba süreriz|B
264|K2|Hugo oyununda Hugo'yu yönetmek için eskiden ne kullanılırdı?|Mouse|Klavye|Telefon tuşları|Joystick|C
265|K2|Volfied oyununda amacımız nedir?|Elma toplamak|Düşmanı vurmak|Alan kapatmak/kesmek|Yılanı beslemek|C
266|K2|Golden Axe oyununda bindiğimiz binekler nelerdir?|At|Ejderha ve Tavuk-bacaklı yaratıklar|Kaplan|Ayı|B
267|K2|Hangi oyun karakteri 'Waka Waka' sesi çıkarır?|Donkey Kong|Pac-Man|Sonic|Mario|B
268|K2|Spyro the Dragon oyunundaki Spyro ne renk bir ejderhadır?|Kırmızı|Siyah|Yeşil|Mor|D
269|K2|Bubble Bobble oyununda düşmanları neyin içine hapsederiz?|Kafes|Baloncuk|Kutu|Ateş|B
270|K2|Mortal Kombat'ta rakibi bitirirken yapılan özel harekete ne denir?|K.O.|Fatality|Finish|Victory|B
271|K2|Tekken'de Heihachi Mishima'nın saç stili nasıldır?|Kel|Afro|Yanlar dik|Uzun örgü|C
272|K2|Twisted Metal oyununda arabalar ne yapar?|Birbirini patlatır|Yük taşır|Yarışır|Müşteri taşır|A
273|K2|Street Fighter'da 'Blanka' hangi ülkenin karakteridir?|Japonya|ABD|Brezilya|Çin|C
274|K2|Atari salonlarında silahla oynanan meşhur zombi oyunu?|Resident Evil|Silent Hill|The House of the Dead|Doom|C
275|K2|Commando (Capcom) oyununda kamera açısı nasıldır?|Yandan|Kuş bakışı|Birinci şahıs|Omuz üstü|B
276|K2|1942 oyununda yönettiğimiz araç nedir?|Tank|Uçak|Gemi|Helikopter|B
277|K2|Oddworld: Abe's Oddysee oyunundaki Abe ne tür bir canlıdır?|Hayvan|Uzaylı|İnsan|Robot|B
278|K2|Tony Hawk's Pro Skater oyunu ne üzerine kuruludur?|Kaykay|Paten|Sörf|Bisiklet|A
279|K2|Sunset Riders oyununda hangi hayvanların üstünde koştururuz?|Atlar|Boğalar|Develer|Filler|B
280|K2|Altered Beast oyununda karakterimiz gücünü nereden alır?|İksirden|Ruh kürelerinden|Yemekten|Kılıçtan|B
281|K2|Balloon Fight oyununda uçmak için ne kullanırız?|Kanat|Balon|Pervane|Pelerin|B
282|K2|Shinobi oyununda ana karakter nedir?|Samuray|Ninja|Şövalye|Korsan|B
283|K2|OutRun oyununda sürdüğümüz ikonik kırmızı araba nedir?|Porsche|Lamborghini|Ferrari|Mustang|C
284|K2|Hangi oyun 'Sanal Bebek' mantığındadır?|Pokemon|Tetris|Zelda|Tamagotchi/Digimon|D
285|K2|Eski Windows bilgisayarlarda yüklü gelen kart oyunu hangisidir?|Poker|Solitaire|Uno|Blackjack|B
286|K2|Mayın Tarlası oyunundaki sayılar neyi ifade eder?|Hamle sayısını|Kalan süreyi|Etraftaki mayın sayısını|Puanı|C
287|K2|Pinball oyununda topu düşürmemek için ne kullanırız?|Mıknatıs|Raket|Klavye|Mouse|B
288|K2|DX-Ball oyununda topu sektirerek ne kırarız?|Demir|Tahta|Cam|Tuğla|D
289|K2|Jazz Jackrabbit oyunundaki Jazz ne tür bir hayvandır?|Kaplumbağa|Kedi|Köpek|Tavşan|D
290|K2|Earthworm Jim oyunundaki kahramanımız nedir?|Yılan|Salyangoz|Solucan|Böcek|C
291|K2|Mortal Kombat 1'de Sub-Zero'nun gücü nedir?|Elektrik|Buz|Ateş|Rüzgar|B
292|K2|Street Fighter'da Chun-Li'nin meşhur saldırısı nedir?|Hızlı tekme|Işınlanma|Alev topu|Elektrik şoku|A
293|K2|Nintendo 64 konsolunun en devrimsel oyunu hangisidir?|Tetris|Pacman|Pong|Super Mario 64|D
294|K2|Banjo-Kazooie oyununda sırt çantasında ne taşır?|Kuş|Yemek|Harita|Silah|A
295|K2|Castlevania: Symphony of the Night oyununda kimi yönetiriz?|Richter|Dracula|Simon|Alucard|D
296|K2|Streets of Rage oyununda polis çağırdığımızda ne olur?|Tutuklarlar|Uzaktan roket/bomba atarlar|Can verirler|Kaçarlar|B
297|K2|Metal Gear Solid 1'de Solid Snake kiminle konuşur?|Hayaletler|Albay Campbell|Uzaylılar|Başkan|B
298|K2|Donkey Kong Country oyununda muzları kim çalmıştır?|Mario|K. Rool|Sonic|Bowser|B
299|K2|Syphon Filter oyunundaki ajanın adı nedir?|Solid Snake|Gabe Logan|James Bond|Sam Fisher|B
300|K2|Turok oyununda ne avlarız?|Dinozor|Asker|Uzaylı|Zombi|A
301|K2|Hangi oyun karakteri düşmanlarını yiyerek onların gücünü kopyalar?|Sonic|Kirby|Megaman|Mario|B
302|K2|Galaga oyununda düşman gemisi sizi yakalarsa ne olur?|Geminiz esir alınır|Puan silinir|Bölüm atlanır|Oyun biter|A
303|K2|1942 adlı oyunda ne kontrol ederiz?|Uçak|Asker|Gemi|Tank|A
304|K2|Double Dragon oyunundaki iki ana karakterin adları nedir?|Ken ve Ryu|Billy ve Jimmy|Axel ve Blaze|Mario ve Luigi|B
305|K2|Battletoads oyununun en sinir bozucu bölümü hangisidir?|Giriş bölümü|Boss savaşı|Uçan motor|Su altı bölümü|C
306|K2|Sega'nın 'Altered Beast' oyununda karakter neye dönüşür?|Kurda/Canavara|Uçağa|Arabaya|Robota|A
307|K2|Streets of Rage oyununda can yenilemek için yerden ne yeriz?|Mantar|Elma|Pizza|Tavuk/Et|D
308|K2|Mario oyununda Mario kime aşıktır?|Daisy|Rosalina|Zelda|Peach|D
309|K2|Pokemon Yellow versiyonunda peşimizden ayrılmayan Pokemon hangisidir?|Charmander|Pikachu|Bulbasaur|Squirtle|B
310|K2|Mortal Kombat'ta Scorpion rakibini çekerken ne der?|Come Here!|Get Over Here!|Gotcha!|Hello!|B
311|K2|Final Fight oyununda zehirli variller ne yapar?|Puan verir|Can götürür/Patlar|Güç verir|Görünmez yapar|B
312|K2|Sonic oyununda Sonic ne toplar?|Mantar|Para|Yüzük (Ring)|Yıldız|C
313|K2|Street Fighter'da 'Soryuken' (Shoryuken) hareketi nedir?|Alev topu|Uçan tekme|Ejderha Yumruğu (Uppercut)|Kafa atma|C
314|K2|Carmageddon oyunu neden yasaklanmıştı?|Sıkıcı olduğu için|Çok zor olduğu için|Pahalı olduğu için|Yayaları ezme şiddeti içerdiği için|D
315|K2|Contra oyununda 'S' harfi düşerse silahımız ne olur?|Spread Gun (Saçmalı)|Sniper|Shotgun|Sword|A
316|K2|Hangi dövüş oyununda karakterler hayvana dönüşebilir?|Soulcalibur|Bloody Roar|Mortal Kombat|Tekken|B
317|K2|Dino Crisis 2'de puan kazanmak için ne yapmalıyız?|Kaçmalıyız|Dinozorları kombo yaparak öldürmeliyiz|Saklanmalıyız|Yemek yemeliyiz|B
318|K2|Winning Eleven 3 (Japonya Ligi) oyununda en hızlı koşan forvet kimdir?|Ronaldo|Roberto Carlos|Amokachi/Babangida|Zidane|C
319|K2|Hangi oyun karakteri 'It's-a me, Mario!' repliğiyle bilinir?|Luigi|Yoshi|Wario|Mario|D
320|K2|Paperboy oyununda köpekler ne yapar?|Sizi kovalar/ısırır|Gazete getirir|Uyurlar|Havlayıp kaçar|A
321|K2|Lemmings oyununda amaç nedir?|Yarışmak|Yaratıkları öldürmek|Minik yaratıkları güvenli çıkışa götürmek|Şehir kurmak|C
322|K2|Q*bert oyununda karakter neyin üzerinde zıplar?|Arabaların|Küp piramitlerin|Binaların|Bulutların|B
323|K2|Dig Dug oyununda düşmanları nasıl yeneriz?|Üstlerine atlayarak|Kılıçla keserek|Ateş ederek|İçlerine hava pompalayıp patlatarak|D
324|K2|Arkanoid oyununda topu düşürmeden ne kırmaya çalışırız?|Şişeleri|Tuğlaları|Balonları|Camları|B
325|K2|Hangi oyun serisinde 'Belmont' ailesi vampir avlar?|Devil May Cry|Silent Hill|Castlevania|Resident Evil|C
326|K2|Chrono Trigger oyununun ana teması nedir?|Dünya savaşı|Zaman yolculuğu|Araba yarışı|Uzay yolculuğu|B
327|K2|Earthbound (Mother 2) oyununda baş düşman kimdir?|Ganon|Bowser|Giygas|Dracula|C
328|K2|Hangi oyunda 'Finish Him!' sesi duyulur?|Street Fighter|King of Fighters|Mortal Kombat|Tekken|C
329|K2|Pong oyununda oyuncular neyi kontrol eder?|Raketleri (Çubukları)|Topu|Sahayı|Hakemi|A
330|K2|Space Invaders'da uzaylılar ekranın altına ulaşırsa ne olur?|Başa döner|Oyun biter|Bölüm geçilir|Puan artar|B
331|K2|Missile Command oyununda şehirleri neden koruruz?|Füzelerden|Tanklardan|Uçaklardan|Gemilerden|A
332|K2|Defender oyununda uzaylılar neyi kaçırmaya çalışır?|İnsanları|İnekleri|Altınları|Benzini|A
333|K2|Joust oyununda oyuncular neyin üzerindedir?|At|Devekuşu|Ejderha|Kaplan|B
334|K2|Gauntlet oyununda hangi karakter yoktur?|Elf|Warrior|Wizard|Sniper|D
335|K2|Rampage oyununda oyuncular neyi kontrol eder?|Askerleri|Dev canavarları|Polisleri|Uçakları|B
336|K2|Bubble Bobble oyununda baloncuklar patlayınca ne çıkar?|Meyve/Yiyecek|Para|Bomba|Canavar|A
337|K2|R-Type oyunu ne türdedir?|Yarış|Shoot 'em up (Uzay gemisi)|Bulmaca|Dövüş|B
338|K2|Hangi oyunda 'Fire in the hole!' sesi yerine 'Hadouken' duyulur?|Counter-Strike|Street Fighter|Pacman|Tetris|B
339|K2|Mega Man oyununda bölüm sonu canavarlarının adı ne ile biter?|Man (Cut Man, Ice Man)|Bot|Tron|Zilla|A
340|K2|Metroid oyununda Samus top haline gelince neye benzer?|Futbol topuna|Misket|Enerji küresine|Bomba|C
341|K2|Ninja Gaiden (NES) oyunu neyi ile meşhurdur?|Kolaylığıyla|Zorluğuyla|Grafikleriyle|Müzikleriyle|B
342|K2|Tecmo Bowl hangi sporun oyunudur?|Futbol|Basketbol|Amerikan Futbolu|Beyzbol|C
343|K2|Punch-Out!! oyununda en son dövüştüğümüz boksör kimdir?|King Hippo|Mike Tyson (veya Mr. Dream)|Bald Bull|Glass Joe|B
344|K2|Duck Tales oyununda Scrooge McDuck neyi silah olarak kullanır?|Bastonunu|Tabancasını|Şapkasını|Parasını|A
345|K2|Chip 'n Dale Rescue Rangers oyununda ne fırlatırız?|Kutular ve Elmalar|Bomba|Mermi|Bıçak|A
346|K2|Teenage Mutant Ninja Turtles oyununda en çok hangi yiyecek çıkar?|Hamburger|Sosisli|Pizza|Dondurma|C
347|K2|The Simpsons Arcade oyununda Marge silah olarak ne kullanır?|Tava|Elektrikli Süpürge|Çanta|Kaykay|B
348|K2|X-Men Arcade oyununda Magneto insanları neye çağırır?|X-Men'e|Master of Magnet'e|Die'a|Welcome to Die'a|D
349|K2|Neo Geo konsollarının en meşhur serisi hangisidir?|Mario|Metal Slug|Zelda|Final Fantasy|B
350|K2|Samurai Shodown oyununda karakterler ne ile dövüşür?|Yumrukla|Silahla (Kılıç vb.)|Büyüyle|Arabayla|B
351|K2|Super Mario Bros 3'te Mario rakun kostümüyle ne yapabilir?|Uçabilir|Yüzebilir|Ateş atabilir|Görünmez olabilir|A
352|K2|Final Fantasy I'de kaç adet 'Light Warrior' vardır?|3|5|4|6|C
353|K2|Dragon Quest serisinin maskotu olan mavi damla şeklindeki canavar?|Golem|Dragon|Slime|Chimera|C
354|K2|Sonic the Hedgehog oyununda Dr. Robotnik hayvanları neye çevirir?|Robota|Taşa|Yemeğe|Heykele|A
355|K2|Earthworm Jim oyununda Jim kafasını ne olarak kullanabilir?|Top|Kırbaç/Pervane|Çekiç|Kalkan|B
356|K2|ToeJam & Earl oyunu hangi müzik türüyle özdeşleşmiştir?|Rock|Funk|Klasik|Metal|B
357|K2|Ecco the Dolphin oyununda neyi kontrol ederiz?|Köpekbalığı|Yunus|Balina|Denizatı|B
358|K2|Comix Zone oyunu nerede geçer?|Uzayda|Bir çizgi romanın sayfalarında|Ormanda|Şehirde|B
359|K2|Vectorman karakteri nelerden oluşur?|Etten ve kemikten|Yeşil kürelerden|Metalden|Ateşten|B
360|K2|Gunstar Heroes oyununda silahlar ne yapılabilir?|Birleştirilebilir (Combine)|Satılabilir|Atılabilir|Yenilebilir|A
361|K2|Atari 2600'ün en kötü oyunu olarak bilinen oyun hangisidir?|Pac-Man|E.T.|Pong|Asteroids|B
362|K2|Pitfall oyununda neyin üzerinden atlarız?|Arabaların|Timsahların ve Çukurların|Binaların|Bulutların|B
363|K2|Yars' Revenge oyununda Yar neye dönüşebilir?|Topa|Süper Yar'a (Zorbaquis)|Uçağa|Gemiye|B
364|K2|Kaboom! oyununda bombacı ne fırlatır?|El bombası|Bomba|Para|Çiçek|B
365|K2|Keystone Kapers oyununda kimi kovalarız?|Hırsızı|Polisi|Köpeği|Kuşu|A
366|K2|H.E.R.O. oyununda karakterin sırtında ne vardır?|Çanta|Pervane (Helikopter)|Roket|Kanat|B
367|K2|Chopper Command oyununda ne yönetiriz?|Tank|Helikopter|Uçak|Gemi|B
368|K2|Enduro oyununda ne yaparız?|Savaşırız|Araba yarışı yaparız|Futbol oynarız|Uçarız|B
369|K2|Seaquest oyununda denizaltı ile ne kurtarırız?|Balıkları|Dalgıçları|Hazineleri|Gemileri|B
370|K2|Centipede oyununda neyi vurmaya çalışırız?|Kırkayak|Yılan|Örümcek|Arı|A
371|K2|Tempest oyununun grafikleri nasıldır?|Piksel|Vektör (Çizgisel)|3D|Gerçekçi|B
372|K2|Marble Madness oyununda neyi yönlendiririz?|Arabayı|Misket (Topu)|Karakteri|Uçağı|B
373|K2|Spy Hunter oyununda arabamız neye dönüşebilir?|Uçağa|Tekneye|Robota|Motosiklete|B
374|K2|Tron oyununda meşhur olan araç nedir?|Light Cycle (Işık Motosikleti)|Tank|Uçak|Gemi|A
375|K2|Tapper oyununda karakter ne iş yapar?|Polis|Barmen|Doktor|İtfaiyeci|B
376|K2|BurgerTime oyununda şefin adı nedir?|Peter Pepper|Mario|Luigi|Cook|A
377|K2|Elevator Action oyununda ne kullanırız?|Merdiven ve Asansör|Uçak|Araba|Bisiklet|A
378|K2|Karateka oyununda prensesi kurtarınca ne yapmalıyız?|Ona vurmalıyız|Ona koşmalıyız (Dövüş duruşunu bozup)|Kaçmalıyız|Ağlamalıyız|B
379|K2|Lode Runner oyununda düşmanlar çukura düşünce ne olur?|Ölürler|Bir süre sonra tırmanıp çıkarlar|Yok olurlar|Dönüşürler|B
380|K2|Boulder Dash oyununda ne toplarız?|Elmas|Altın|Para|Meyve|A
381|K2|California Games oyununda hangi spor yoktur?|Sörf|Kaykay|Futbol|BMX|C
382|K2|International Karate + oyununda kaç dövüşçü aynı anda dövüşür?|2|3|4|5|B
383|K2|The Last Ninja oyununda ne kullanırız?|Silah|Ninja yıldızı ve Kılıç|Büyü|Araba|B
384|K2|Impossible Mission oyununda ne ararız?|Yapboz parçaları|Anahtar|Silah|Harita|A
385|K2|Uridium oyununda ne yaparız?|Yarışırız|Dev uzay gemilerine inip onları yok ederiz|Futbol oynarız|Bulmaca çözeriz|B
386|K2|Paradroid oyununda neyi ele geçiririz?|İnsanları|Robotları|Gemileri|Binaları|B
387|K2|Nebulus oyununda kuleye ne yaparız?|Yıkarız|Tırmanırız|Boya yaparız|Saklanırız|B
388|K2|Turrican oyununda karakter neye dönüşebilir?|Tekerleğe (Topa)|Uçağa|Robota|Canavara|A
389|K2|Speedball 2 oyunu ne türdedir?|Futbol|Vahşi Gelecek Sporu|Basketbol|Tenis|B
390|K2|Cannon Fodder oyununun sloganı nedir?|War has never been so much fun|Kill them all|Game Over|Ready to fight|A
391|K2|Lemmings oyununda lemmings'lere ne verebiliriz?|Para|Şemsiye, Kazma gibi görevler|Yemek|Silah|B
392|K2|Worms oyununda 'Holy Hand Grenade' (Kutsal El Bombası) ne der?|Hallelujah!|Boom!|Fire!|Attack!|A
393|K2|Flashback oyununda karakter hafızasını nerede kaybeder?|Ormanda|Uzay gemisinde|Şehirde|Çölde|A
394|K2|Another World oyununda ilk başta nereden kaçarız?|Su tankından (Kafesten)|Hapishaneden|Ormandan|Evden|A
395|K2|Alley Cat oyununda kedi ne yakalamaya çalışır?|Köpek|Fare ve Balık|Kuş|Sinek|B
396|K2|Montezuma's Revenge oyununda karakter ne kaşifidir?|Uzay|Piramit/Hazine|Deniz|Orman|B
397|K2|River City Ransom oyununda karakterler ne yiyerek güçlenir?|Suşi, Burger vb.|İksir|Mantar|Elma|A
398|K2|Nekketsu (Goal 3) serisinde karakterler nasıl görünür?|Gerçekçi|Koca kafalı ve kısa bacaklı (Chibi)|Çöp adam|Robot|B
399|K2|Snow Bros oyununda boss savaşından sonra ne olur?|Slot makinesi (Bonus) gelir|Oyun biter|Karakter ölür|Reklam çıkar|A
400|K2|Tumblepop oyununda düşmanları neyle çekeriz?|Mıknatısla|Elektrikli Süpürgeyle|İple|El ile|B
401|O1|Skyrim'de 'Fus Ro Dah' nidası ne işe yarar?|Ateş püskürtür|Zamanı durdurur|Düşmanı fırlatır|Görünmez yapar|C
402|O1|The Witcher 3'te Geralt'ın ateş büyüsünün adı nedir?|Axii|Igni|Quen|Aard|B
403|O1|Fallout evreninde para yerine geçen kapaklar hangi içeceğe aittir?|Pepsi|Nuka-Cola|Sunset Sarsaparilla|Vim!|B
404|O1|Dark Souls serisinde oyuncuların dinlendiği güvenli nokta nedir?|Campfire|Bonfire|Checkpoint|Shrine|B
405|O1|World of Warcraft'ta Lich King'in kılıcının adı nedir?|Frostmourne|Doomhammer|Gorehowl|Ashbringer|A
406|O1|Diablo evreninde Deckard Cain'in meşhur sözü nedir?|"Hello my friend"|"Die monster"|"Look at that"|"Stay awhile and listen"|D
407|O1|Assassin's Creed'de 'Leap of Faith' nereye yapılır?|Saman balyasına|Suya|Taşa|Çatıya|A
408|O1|Undertale'de 'Sans' karakteri hangi müzik aletini çalar?|Piyano|Keman|Trombon|Gitar|C
409|O1|Genshin Impact'te Paimon'a takılan lakap nedir?|Little Fairy|Emergency Food|Floating Child|Guide|B
410|O1|Pokemon'da Pikachu hangi taşla Raichu'ya evrilir?|Fire Stone|Thunder Stone|Moon Stone|Water Stone|B
411|O1|God of War'da Kratos'un kullandığı balta hangi elemente sahiptir?|Buz|Elektrik|Ateş|Zehir|A
412|O1|Mass Effect'te galaksiyi tehdit eden makine ırkı hangisidir?|Geth|Collectors|Krogans|Reapers|D
413|O1|Elden Ring'de oyuncuya rehberlik eden kadın karakter kimdir?|Malenia|Fia|Melina|Ranni|C
414|O1|Cyberpunk 2077'de Johnny Silverhand'in grubu hangisidir?|Voodoo Boys|Animals|Samurai|Mox|C
415|O1|Stardew Valley'de yorgunluktan bayılırsanız sizi kim bulur?|Başkan Lewis|Joja Ekibi/Linus|Pierre|Marnie|B
416|O1|Hangi RPG sınıfı 'Stealth' mekaniğini kullanır?|Warrior|Paladin|Rogue|Mage|C
417|O1|Final Fantasy VII'de Cloud Strife eskiden hangi birliğin askeriydi?|Shinra|Avalanche|Turks|SOLDIER|D
418|O1|Skyrim'deki suikastçı loncasının adı nedir?|Dark Brotherhood|Blades|Companions|Thieves Guild|A
419|O1|Kingdom Hearts serisinde Sora'nın silahı 'Keyblade' neye benzer?|Anahtara|Kılıca|Baltaya|Asaya|A
420|O1|Persona 5'te ana karakterler hangi boyuta girer?|Metaverse|Dark Hour|Shadow World|TV World|A
421|O1|Mount & Blade: Warband'de hangi krallığın atlıları meşhurdur?|Nord|Kergit Hanlığı|Rodok|Svadya|B
422|O1|Vampire: The Masquerade oyununda vampirlerin gizlilik kuralı nedir?|The Silence|The Masquerade|The Night|The Blood|B
423|O1|Disco Elysium'da ana karakter neyini kaybetmiştir?|Ayakkabısını|Silahını|Rozetini|Hafızasını|D
424|O1|Baldur's Gate 3'te 'Mind Flayer'lar insanlara ne yerleştirir?|Larva|Çip|Zehir|Büyü|A
425|O1|Hades oyununda Zagreus kime ulaşmaya çalışır?|Zeus'a|Dünyaya|Annesine|Babasına|C
426|O1|Borderlands oyunlarında silahların özelliği nedir?|Sadece lazer olması|Konuşması|Rastgele üretilmesi|Kırılmaması|C
427|O1|NieR: Automata'da 2B'nin gözleri neden bağlıdır?|Kör olduğu için|Ceza aldığı için|Gerçeği görmemek için|Tarz olduğu için|C
428|O1|Hollow Knight'ta harita almak için kime ihtiyacımız vardır?|Cornifer|Quirrel|Hornet|Zote|A
429|O1|Divinity: Original Sin 2'de elfler anıları nasıl görür?|Uyuyarak|Et yiyerek|Kitap okuyarak|Büyüyle|B
430|O1|Terraria'da Cehenneme inmek için ne kadar kazmak gerekir?|Bulutlara kadar|Haritanın en altına|Yarısına kadar|Hiç|B
431|O1|Bioshock'ta 'Big Daddy'ler kimi korur?|Little Sisters|Andrew Ryan|Splicers|Atlas|A
432|O1|Dragon Age: Origins'te dünyayı tehdit eden olay nedir?|The War|The Void|The Storm|The Blight|D
433|O1|Fallout: New Vegas'ta kuryeyi kim vurmuştur?|Mr. House|Victor|Benny|Caesar|C
434|O1|Star Wars: KOTOR'da ana karakter aslında kimdir?|Darth Revan|Luke|Yoda|Darth Malak|A
435|O1|Bloodborne'da avcıların kullandığı iyileştirme eşyası nedir?|Estus Flask|Potion|Herb|Blood Vial|D
436|O1|WoW'da 'Horde' tarafının simgesi hangi renktir?|Kırmızı|Yeşil|Mavi|Sarı|A
437|O1|The Elder Scrolls serisinde kedimsi ırkın adı nedir?|Argonian|Khajiit|Orsimer|Bosmer|B
438|O1|Diablo 3'te düşen 'Set' eşyalarının rengi nedir?|Turuncu|Mavi|Sarı|Yeşil|D
439|O1|South Park: The Stick of Truth'ta Cartman hangi sınıftır?|Thief|Warrior|Wizard King|Jew|C
440|O1|Yakuza serisinde Kiryu'nun sırtındaki dövme nedir?|Kaplan|Ejderha|Sazan|İblis|B
441|O1|Assassin's Creed 2'nin ana karakteri Ezio'nun soyadı nedir?|Da Vinci|Medici|Auditore|Borgia|C
442|O1|Monster Hunter'da silah keskinliği azalınca ne yapılır?|Değiştirilir|Tamir edilir|Bilenir|Atılır|C
443|O1|Dead Cells'te her öldüğümüzde değişen şey nedir?|Silahlar|Müzik|Harita düzeni|Karakter|C
444|O1|Cuphead'de ruhumuzu kime kaptırırız?|Goblin|King Dice|The Devil|Witch|C
445|O1|Skyrim'de 'Whiterun' şehrinin Jarl'ı kimdir?|Balgruuf|Ulfric|Tullius|Siddgeir|A
446|O1|Fable oyununda karakterin yaşlanması neye bağlıdır?|Yetenek geliştirmeye|Oyun süresine|Uykuya|Görev yapmaya|A
447|O1|Destiny 2'de oyuncuyu dirilten küçük robotun adı?|Light|Bot|Ghost|Spark|C
448|O1|Warframe'de başlangıç karakterlerinden biri hangisidir?|Excalibur|Loki|Rhino|Ash|A
449|O1|Path of Exile'da yetenekler nasıl kazanılır?|Kitaplarla|Taşlarla|Parayla|Seviyeyle|B
450|O1|Zelda: Breath of the Wild'da silahlar ne olur?|Satılır|Kaybolur|Gelişir|Kırılır|D
451|O1|Horizon Zero Dawn'da Aloy'un bulduğu cihazın adı?|Lens|Focus|Pipboy|Scanner|B
452|O1|The Outer Worlds oyununda yoldaşların neyi vardır?|Kanatları|Büyüleri|Arabaları|Korkuları|D
453|O1|Valheim'de ilk boss olan geyiğin adı nedir?|Yagluth|Bonemass|Moder|Eikthyr|D
454|O1|Sekiro'da öldükten sonra dirilme gücünün adı nedir?|Dragon's Heritage|Dark Sign|Phantom|Undead Curse|A
455|O1|Ghosts of Tsushima'da samuray onurunu çiğneyince ne oluruz?|Ronin|Ninja|Hayalet|Hain|C
456|O1|Chrono Trigger'da zaman yolculuğu ne ile yapılır?|Büyü|Epoch/Gates|Tardis|Araba|B
457|O1|EarthBound oyununda düşmanlar nasıl yenilir?|Psişik güçlerle|Kılıçla|Tabancayla|Konuşarak|A
458|O1|Undertale'de 'Determination' neyi sağlar?|Saldırmayı|Hızlanmayı|Uçmayı|Kaydetmeyi/Dirilmeyi|D
459|O1|Final Fantasy X'te oynanan su topu oyununun adı?|Spherebreak|Triple Triad|Waterpolo|Blitzball|D
460|O1|Shadow of the Colossus'ta devleri öldürmek için neye tırmanılır?|Merdivene|İpe|Ağaca|Kürklerine|D
461|O1|Dragon's Dogma'da kalbimizi kim çalar?|Hırsız|Ejderha|Büyücü|Kral|B
462|O1|WoW'da 'Alliance' tarafının başkenti neresidir?|Ironforge|Orgrimmar|Darnassus|Stormwind|D
463|O1|Geralt'ın Witcher madalyonu ne şeklindedir?|Kedi|Ayı|Yılan|Kurt|D
464|O1|Skyrim'de büyücülük okulu neresidir?|Solitude|Riften|Markarth|Winterhold|D
465|O1|Fallout 4'te aradığımız kişi kimdir?|Köpeğimiz|Eşimiz|Oğlumuz|Babamız|C
